"2011-12-28","GTAA","0.196000"
"2010-12-29","DENT","0.030000"
"2009-12-29","DENT","0.211000"
"2011-12-23","FWDB","0.207000"
"2011-11-23","FWDB","0.062000"
"2011-10-25","FWDB","0.061000"
"2011-09-26","FWDB","0.063000"
"2011-08-25","FWDB","0.074000"
"2011-07-25","FWDB","0.019000"
"2011-12-23","FWDI","0.104000"
"2011-12-28","MATH","0.018000"
"2011-12-23","HYLD","0.924000"
"2011-11-23","HYLD","0.329000"
"2011-10-25","HYLD","0.294000"
"2011-09-26","HYLD","0.298000"
"2011-08-25","HYLD","0.282000"
"2011-07-25","HYLD","0.220000"
"2011-06-24","HYLD","0.279000"
"2011-04-25","HYLD","0.292000"
"2011-03-25","HYLD","0.342000"
"2011-02-22","HYLD","0.287000"
"2011-01-25","HYLD","0.198000"
"2011-12-23","TTFS","0.029000"
"2011-12-23","AADR","0.195000"
"2011-06-24","AADR","0.019000"
"2012-02-07","AMLP","0.243000"
"2011-11-07","AMLP","0.258000"
"2011-05-06","AMLP","0.246000"
"2011-02-07","AMLP","0.243000"
"2010-11-05","AMLP","0.248000"
"2011-12-21","EQL","0.217000"
"2011-09-21","EQL","0.153000"
"2011-06-22","EQL","0.160000"
"2011-03-23","EQL","0.136000"
"2010-12-21","EQL","0.189000"
"2010-09-22","EQL","0.191000"
"2010-06-23","EQL","0.127000"
"2010-03-24","EQL","0.100000"
"2009-12-22","EQL","0.177000"
"2009-09-23","EQL","0.138000"
"2009-01-16","PGD","0.092000"
"2008-12-16","PGD","0.073000"
"2012-02-16","JEM","0.152000"
"2011-12-16","JEM","0.220000"
"2011-11-17","JEM","0.147000"
"2011-10-19","JEM","0.180000"
"2011-09-16","JEM","0.121000"
"2011-08-17","JEM","0.128000"
"2011-07-19","JEM","0.129000"
"2011-06-16","JEM","0.097000"
"2011-05-23","JEM","0.113000"
"2011-04-19","JEM","0.134000"
"2011-03-17","JEM","0.075000"
"2011-02-18","JEM","0.108000"
"2011-01-19","JEM","0.068000"
"2010-12-16","JEM","0.063000"
"2010-11-23","JEM","0.110000"
"2010-10-18","JEM","0.114000"
"2010-09-16","JEM","0.076000"
"2010-08-19","JEM","0.096000"
"2010-07-16","JEM","0.109000"
"2010-05-19","JEM","0.071000"
"2010-03-18","JEM","0.070000"
"2010-02-18","JEM","0.089000"
"2010-01-19","JEM","0.104000"
"2009-12-16","JEM","0.073000"
"2009-11-18","JEM","0.077000"
"2009-09-16","JEM","0.111000"
"2009-08-19","JEM","0.182000"
"2009-07-16","JEM","0.159000"
"2009-06-18","JEM","0.165000"
"2009-03-18","JEM","0.302000"
"2009-01-16","JEM","0.502000"
"2008-12-16","JEM","0.671000"
"2008-10-16","JEM","0.323000"
"2008-09-18","JEM","0.222000"
"2008-08-22","JEM","0.391000"
"2008-07-16","JEM","0.310000"
"2008-06-18","JEM","0.339000"
"2008-05-16","JEM","0.257000"
"2008-04-17","JEM","0.233000"
"2012-01-03","GCE","0.356000"
"2011-10-03","GCE","0.321000"
"2011-07-01","GCE","0.307000"
"2011-04-01","GCE","0.242000"
"2011-01-03","GCE","0.340000"
"2010-10-01","GCE","0.277000"
"2010-07-01","GCE","0.256000"
"2010-04-01","GCE","0.276000"
"2009-10-05","GCE","0.317000"
"2009-07-01","GCE","0.350000"
"2009-04-01","GCE","0.272000"
"2008-01-04","GCE","1.667000"
"2011-12-23","WFVK","0.476000"
"2010-12-27","WFVK","0.400000"
"2011-12-23","WMCR","0.650000"
"2010-12-27","WMCR","0.060000"
"2009-12-24","WMCR","0.150000"
"2008-12-24","WMCR","0.552000"
"2007-12-26","WMCR","0.438000"
"2006-12-22","WMCR","0.071000"
"2011-12-23","WREI","0.340000"
"2011-09-26","WREI","0.299000"
"2011-06-24","WREI","0.226000"
"2011-03-25","WREI","0.170000"
"2010-12-27","WREI","0.209000"
"2010-09-24","WREI","0.212000"
"2010-06-24","WREI","0.158000"
"2011-12-21","GRI","0.179000"
"2011-09-21","GRI","0.205000"
"2011-06-22","GRI","0.279000"
"2011-03-23","GRI","0.607000"
"2010-12-21","GRI","1.120000"
"2010-09-22","GRI","0.177000"
"2010-06-23","GRI","0.208000"
"2010-03-24","GRI","0.432000"
"2009-12-29","GRI","1.034000"
"2009-09-29","GRI","0.083000"
"2009-06-29","GRI","0.569000"
"2008-12-29","GRI","0.489000"
"2011-12-23","GVT","3.803000"
"2010-12-27","GVT","3.740000"
"2009-12-24","GVT","1.666000"
"2012-02-01","GMTB","0.115000"
"2011-12-23","GMTB","1.012000"
"2011-12-01","GMTB","0.117000"
"2011-11-01","GMTB","0.117000"
"2011-10-03","GMTB","0.116000"
"2011-09-01","GMTB","0.120000"
