"CHK";"2008-12";"1.16";"1.14"
"CHK";"2009-12";"-9.57";"-9.57"
"CHK";"2010-12";"2.63";"2.51"
"CHK";"2011-12";"2.47";"2.32"
"CHK";"TTM";"2.47";"2.32"
"CLF";"2007-12";"3.19";"2.57"
"CLF";"2008-12";"5.07";"4.76"
"CLF";"2009-12";"1.64";"1.63"
"CLF";"2010-12";"7.54";"7.49"
"CLF";"2011-12";"11.55";"11.48"
"CLF";"TTM";"11.55";"11.48"
"CMG";"2007-12";"2.16";"2.13"
"CMG";"2008-12";"2.39";"2.36"
"CMG";"2009-12";"3.99";"3.95"
"CMG";"2010-12";"5.73";"5.64"
"CMG";"2011-12";"6.89";"6.76"
"CMG";"TTM";"6.89";"6.76"
"COP";"2007-12";"7.32";"7.22"
"COP";"2008-12";"-11.16";"-11.16"
"COP";"2009-12";"3.26";"3.24"
"COP";"2010-12";"7.68";"7.62"
"COP";"2011-12";"9.04";"8.97"
"COP";"TTM";"9.04";"8.97"
"CREE";"2007-06";"0.73";"0.72"
"CREE";"2008-06";"0.39";"0.38"
"CREE";"2009-06";"0.34";"0.34"
"CREE";"2010-06";"1.49";"1.45"
"CREE";"2011-06";"1.35";"1.33"
"CREE";"TTM";"0.571";"0.5665"
"CRM";"2007-01";"0";"0"
"CRM";"2008-01";"0.16";"0.15"
"CRM";"2009-01";"0.36";"0.35"
"CRM";"2010-01";"0.65";"0.63"
"CRM";"2011-01";"0.5";"0.47"
"CRM";"TTM";"0.0255";"0.0251"
"CSCO";"2007-07";"1.21";"1.17"
"CSCO";"2008-07";"1.35";"1.31"
"CSCO";"2009-07";"1.05";"1.05"
"CSCO";"2010-07";"1.36";"1.33"
"CSCO";"2011-07";"1.17";"1.17"
"CSCO";"TTM";"1.2869";"1.284"
"CVX";"2007-12";"8.83";"8.77"
"CVX";"2008-12";"11.74";"11.67"
"CVX";"2009-12";"5.26";"5.24"
"CVX";"2010-12";"9.53";"9.48"
"CVX";"2011-12";"13.54";"13.44"
"CVX";"TTM";"13.54";"13.44"
"DE";"2007-10";"4.05";"4"
"DE";"2008-10";"4.76";"4.7"
"DE";"2009-10";"2.07";"2.06"
"DE";"2010-10";"4.4";"4.35"
"DE";"2011-10";"6.71";"6.63"
"DE";"TTM";"6.71";"6.63"
"DMND";"2007-07";"0.53";"0.53"
"DMND";"2008-07";"0.92";"0.91"
"DMND";"2009-07";"1.48";"1.44"
"DMND";"2010-07";"1.4";"1.36"
"DMND";"2011-07";"2.28";"2.22"
"DMND";"TTM";"2.28";"2.22"
"DNDN";"2007-12";"-1.2";"-1.2"
"DNDN";"2008-12";"-0.79";"-0.79"
"DNDN";"2009-12";"-2.04";"-2.04"
"DNDN";"2010-12";"-3.18";"-3.18"
"DNDN";"2011-12";"-2.31";"-2.31"
"DNDN";"TTM";"-2.31";"-2.31"
"F";"2007-12";"-1.38";"-1.38"
"F";"2008-12";"-6.46";"-6.46"
"F";"2009-12";"0.91";"0.86"
"F";"2010-12";"1.9";"1.66"
"F";"2011-12";"5.33";"4.94"
"F";"TTM";"5.33";"4.94"
"FCX";"2007-12";"4.06";"3.75"
"FCX";"2008-12";"-14.86";"-14.86"
"FCX";"2009-12";"3.05";"2.93"
"FCX";"2010-12";"2.335";"2.285"
"FCX";"2011-12";"4.81";"4.78"
"FCX";"TTM";"4.81";"4.78"
"FFIV";"2007-09";"0.93";"0.9"
"FFIV";"2008-09";"0.9";"0.89"
"FFIV";"2009-09";"1.16";"1.14"
"FFIV";"2010-09";"1.9";"1.86"
"FFIV";"2011-09";"2.99";"2.96"
"FFIV";"TTM";"3.1405";"3.1129"
"FSLR";"2007-12";"2.12";"2.03"
"FSLR";"2008-12";"4.34";"4.24"
"FSLR";"2009-12";"7.67";"7.53"
"FSLR";"2010-12";"7.82";"7.68"
"FSLR";"2011-12";"-0.46";"-0.46"
"FSLR";"TTM";"-0.46";"-0.46"
"GE";"2007-12";"2.18";"2.17"
"GE";"2008-12";"1.72";"1.72"
"GE";"2009-12";"1.01";"1.01"
"GE";"2010-12";"1.06";"1.06"
"GE";"2011-12";"1.24";"1.23"
"GE";"TTM";"1.24";"1.23"
"GM";"2007-12";"—";"—"
"GM";"2008-12";"-53.47";"-53.47"
"GM";"2009-12";"113.18";"113.18"
"GM";"2010-12";"3.11";"2.89"
"GM";"2011-12";"4.94";"4.58"
"GM";"TTM";"4.94";"4.58"
"GMCR";"2007-09";"0.1222";"0.1156"
"GMCR";"2008-09";"0.2067";"0.1933"
"GMCR";"2009-09";"0.49";"0.4633"
"GMCR";"2010-09";"0.6";"0.58"
"GMCR";"2011-09";"1.36";"1.31"
"GMCR";"TTM";"2.0161";"1.9424"
"GOOG";"2007-12";"13.53";"13.29"
"GOOG";"2008-12";"13.46";"13.31"
"GOOG";"2009-12";"20.62";"20.41"
"GOOG";"2010-12";"26.69";"26.31"
"GOOG";"2011-12";"30.17";"29.76"
"GOOG";"TTM";"30.17";"29.76"
"GRPN";"2006-12";"—";"—"
"GRPN";"2007-12";"—";"—"
"GRPN";"2008-12";"—";"—"
"GRPN";"2009-12";"—";"—"
"GRPN";"2010-12";"—";"—"
"GRPN";"TTM";"—";"—"
"GS";"2007-11";"26.34";"24.73"
"GS";"2008-11";"4.67";"4.47"
"GS";"2009-12";"23.74";"22.13"
"GS";"2010-12";"14.15";"13.18"
"GS";"2011-12";"4.71";"4.71"
"GS";"TTM";"4.71";"4.71"
"HAL";"2007-12";"3.83";"3.68"
"HAL";"2008-12";"1.75";"1.7"
"HAL";"2009-12";"1.27";"1.27"
"HAL";"2010-12";"2.02";"2.01"
"HAL";"2011-12";"3.09";"3.08"
"HAL";"TTM";"3.09";"3.08"
"HD";"2007-01";"2.8";"2.79"
"HD";"2008-01";"2.38";"2.37"
"HD";"2009-01";"1.34";"1.34"
"HD";"2010-01";"1.58";"1.57"
"HD";"2011-01";"2.03";"2.01"
"HD";"TTM";"2.333";"2.3194"
"HL";"2007-12";"0.43";"0.43"
"HL";"2008-12";"-0.57";"-0.57"
"HL";"2009-12";"0.24";"0.23"
"HL";"2010-12";"0.14";"0.13"
"HL";"2011-12";"0.54";"0.51"
"HL";"TTM";"0.54";"0.51"
"HPQ";"2007-10";"2.76";"2.68"
"HPQ";"2008-10";"3.35";"3.25"
"HPQ";"2009-10";"3.21";"3.14"
"HPQ";"2010-10";"3.78";"3.69"
"HPQ";"2011-10";"3.38";"3.32"
"HPQ";"TTM";"3.38";"3.32"
"IBM";"2007-12";"7.32";"7.18"
"IBM";"2008-12";"9.07";"8.93"
"IBM";"2009-12";"10.12";"10.01"
"IBM";"2010-12";"11.69";"11.52"
"IBM";"2011-12";"13.25";"13.06"
"IBM";"TTM";"13.25";"13.06"
"IDCC";"2007-12";"0.42";"0.4"
"IDCC";"2008-12";"0.58";"0.57"
"IDCC";"2009-12";"1.98";"1.95"
"IDCC";"2010-12";"3.48";"3.43"
"IDCC";"2011-12";"1.97";"1.94"
"IDCC";"TTM";"1.97";"1.94"
"INTC";"2007-12";"1.2";"1.18"
"INTC";"2008-12";"0.93";"0.92"
"INTC";"2009-12";"0.79";"0.77"
"INTC";"2010-12";"2.06";"2.01"
"INTC";"2011-12";"2.46";"2.39"
"INTC";"TTM";"2.46";"2.39"
"ISRG";"2007-12";"3.82";"3.7"
"ISRG";"2008-12";"5.26";"5.12"
"ISRG";"2009-12";"6.07";"5.93"
"ISRG";"2010-12";"9.74";"9.47"
"ISRG";"2011-12";"12.63";"12.32"
"ISRG";"TTM";"12.63";"12.32"
"JCP";"2007-01";"5.03";"4.96"
"JCP";"2008-01";"4.99";"4.93"
"JCP";"2009-01";"2.58";"2.57"
"JCP";"2010-01";"1.08";"1.08"
"JCP";"2011-01";"1.64";"1.63"
"JCP";"TTM";"0.9227";"0.9207"
"JNJ";"2007-12";"3.67";"3.63"
"JNJ";"2008-12";"4.62";"4.57"
"JNJ";"2009-12";"4.45";"4.4"
"JNJ";"2010-12";"4.85";"4.78"
"JNJ";"2011-12";"3.54";"3.49"
"JNJ";"TTM";"3.54";"3.49"
"JOY";"2007-10";"2.54";"2.51"
"JOY";"2008-10";"3.48";"3.45"
"JOY";"2009-10";"4.44";"4.41"
"JOY";"2010-10";"4.47";"4.4"
"JOY";"2011-10";"5.81";"5.72"
"JOY";"TTM";"5.81";"5.72"
"JPM";"2007-12";"4.51";"4.38"
"JPM";"2008-12";"1.41";"1.37"
"JPM";"2009-12";"2.27";"2.26"
"JPM";"2010-12";"3.98";"3.96"
"JPM";"2011-12";"4.5";"4.48"
"JPM";"TTM";"4.5";"4.48"
"KO";"2007-12";"2.59";"2.57"
"KO";"2008-12";"2.51";"2.49"
"KO";"2009-12";"2.95";"2.93"
"KO";"2010-12";"5.12";"5.06"
"KO";"2011-12";"3.75";"3.69"
"KO";"TTM";"3.75";"3.69"
"LNKD";"2006-12";"—";"—"
"LNKD";"2007-12";"—";"—"
"LNKD";"2008-12";"—";"—"
"LNKD";"2009-12";"0";"0"
"LNKD";"2010-12";"0.17";"0.17"
"LNKD";"TTM";"0.0947";"0.0764"
"LO";"2007-12";"5.16";"5.16"
"LO";"2008-12";"5.15";"5.15"
"LO";"2009-12";"5.76";"5.76"
"LO";"2010-12";"6.78";"6.78"
"LO";"2011-12";"8";"7.99"
"LO";"TTM";"8";"7.99"
"LRCX";"2007-06";"4.94";"4.85"
"LRCX";"2008-06";"3.52";"3.47"
"LRCX";"2009-06";"-2.41";"-2.41"
"LRCX";"2010-06";"2.73";"2.71"
"LRCX";"2011-06";"5.86";"5.79"
"LRCX";"TTM";"3.3717";"3.3402"
"LULU";"2007-01";"0.06";"0.06"
"LULU";"2008-01";"0.23";"0.225"
"LULU";"2009-01";"0.285";"0.275"
"LULU";"2010-01";"0.415";"0.41"
"LULU";"2011-01";"0.86";"0.845"
"LULU";"TTM";"1.1571";"1.1392"
"LVS";"2007-12";"0.33";"0.33"
"LVS";"2008-12";"-0.48";"-0.48"
"LVS";"2009-12";"-0.82";"-0.82"
"LVS";"2010-12";"0.61";"0.51"
"LVS";"2011-12";"1.74";"1.56"
"LVS";"TTM";"1.74";"1.56"
"MA";"2007-12";"8.05";"8"
"MA";"2008-12";"-1.95";"-1.95"
"MA";"2009-12";"11.19";"11.16"
"MA";"2010-12";"14.1";"14.05"
"MA";"2011-12";"14.9";"14.85"
"MA";"TTM";"14.9";"14.85"
"MCD";"2007-12";"2.02";"1.98"
"MCD";"2008-12";"3.83";"3.76"
"MCD";"2009-12";"4.17";"4.11"
"MCD";"2010-12";"4.64";"4.58"
"MCD";"2011-12";"5.33";"5.27"
"MCD";"TTM";"5.33";"5.27"
"MCP";"2007-12";"—";"—"
"MCP";"2008-12";"—";"—"
"MCP";"2009-12";"-0.73";"-0.73"
"MCP";"2010-12";"-0.79";"-0.79"
"MCP";"2011-12";"1.29";"1.27"
"MCP";"TTM";"1.29";"1.27"
"MGM";"2007-12";"5.52";"5.31"
"MGM";"2008-12";"-3.06";"-3.06"
"MGM";"2009-12";"-3.41";"-3.41"
"MGM";"2010-12";"-3.19";"-3.19"
"MGM";"2011-12";"6.37";"5.62"
"MGM";"TTM";"6.37";"5.62"
"MMM";"2007-12";"5.7";"5.6"
"MMM";"2008-12";"4.95";"4.89"
"MMM";"2009-12";"4.56";"4.52"
"MMM";"2010-12";"5.72";"5.63"
"MMM";"2011-12";"6.05";"5.96"
"MMM";"TTM";"6.05";"5.96"
"MOS";"2007-05";"0.97";"0.95"
"MOS";"2008-05";"4.7";"4.67"
"MOS";"2009-05";"5.29";"5.27"
"MOS";"2010-05";"1.86";"1.85"
"MOS";"2011-05";"5.64";"5.62"
"MOS";"TTM";"5.2522";"5.2357"
"MRVL";"2007-01";"-0.02";"-0.02"
"MRVL";"2008-01";"-0.19";"-0.19"
"MRVL";"2009-01";"0.24";"0.23"
"MRVL";"2010-01";"0.57";"0.54"
"MRVL";"2011-01";"1.39";"1.34"
"MRVL";"TTM";"1.2103";"1.1771"
"MS";"2007-11";"3.13";"2.98"
"MS";"2008-11";"1.54";"1.45"
"MS";"2009-12";"-0.77";"-0.77"
"MS";"2010-12";"2.64";"2.63"
"MS";"2011-12";"1.25";"1.23"
"MS";"TTM";"1.25";"1.23"
"MSFT";"2007-06";"1.44";"1.42"
"MSFT";"2008-06";"1.9";"1.87"
"MSFT";"2009-06";"1.63";"1.62"
"MSFT";"2010-06";"2.13";"2.1"
"MSFT";"2011-06";"2.73";"2.69"
"MSFT";"TTM";"2.7902";"2.7562"
"MU";"2007-08";"-0.42";"-0.42"
"MU";"2008-08";"-2.1";"-2.1"
"MU";"2009-08";"-2.29";"-2.29"
"MU";"2010-08";"2.09";"1.85"
"MU";"2011-08";"0.17";"0.17"
